id,city,state
1,New York,NY
2,Los Angeles,CA
3,Chicago,IL
4,Houston,TX
5,Philadelphia,PA
6,Phoenix,AZ
7,San Antonio,TX
8,San Diego,CA
9,Dallas,TX
10,San Jose,CA
11,Austin,TX
12,Indianapolis,IN
13,Jacksonville,FL
14,San Francisco,CA
15,Columbus,OH
16,Charlotte,NC
17,Fort Worth,TX
18,Detroit,MI
19,El Paso,TX
20,Memphis,TN
21,Seattle,WA
22,Denver,CO
23,Washington,Unknown
24,Boston,MA
26,Baltimore,MD
27,Oklahoma City,OK
29,Portland,OR
30,Las Vegas,NV
31,Milwaukee,WI
32,Albuquerque,NM
33,Tucson,AZ
34,Fresno,CA
35,Sacramento,CA
36,Long Beach,CA
37,Kansas City,MO
38,Mesa,AZ
39,Virginia Beach,VA
40,Atlanta,GA
41,Colorado Springs,CO
42,Omaha,NE
43,Raleigh,NC
44,Miami,FL
45,Oakland,CA
46,Minneapolis,MN
47,Tulsa,OK
48,Cleveland,OH
49,Wichita,KS
50,Arlington,TX
51,New Orleans,LA
52,Bakersfield,CA
53,Tampa,FL
54,Honolulu,HI
55,Aurora,CO
56,Anaheim,CA
57,Santa Ana,CA
59,Riverside,CA
60,Corpus Christi,TX
62,Pittsburgh,PA
63,Anchorage,AK
64,Stockton,CA
65,Cincinnati,OH
67,Toledo,OH
68,Greensboro,NC
69,Newark,NJ
70,Plano,TX
71,Henderson,NV
72,Lincoln,NE
73,Buffalo,NY
74,Jersey City,NJ
75,Chula Vista,CA
76,Fort Wayne,IN
77,Orlando,FL
79,Chandler,AZ
80,Laredo,TX
81,Norfolk,VA
82,Durham,NC
83,Madison,WI
84,Lubbock,TX
85,Irvine,CA
86,Winston-Salem,NC
87,Glendale,AZ
88,Garland,TX
89,Hialeah,FL
90,Reno,NV
91,Chesapeake,VA
92,Gilbert,AZ
93,Baton Rouge,LA
94,Irving,TX
95,Scottsdale,AZ
97,Fremont,CA
98,Boise City,ID
99,Richmond,VA
100,San Bernardino,CA
101,Birmingham,AL
102,Spokane,WA
103,Rochester,NY
104,Des Moines,IA
105,Modesto,CA
106,Fayetteville,NC
107,Tacoma,WA
108,Oxnard,CA
109,Fontana,CA
110,Columbus,GA
111,Montgomery,AL
112,Moreno Valley,CA
113,Shreveport,LA
114,Aurora,IL
115,Yonkers,NY
116,Akron,OH
117,Huntington Beach,CA
118,Little Rock,AR
120,Amarillo,TX
121,Glendale,CA
122,Mobile,AL
123,Grand Rapids,MI
124,Salt Lake City,UT
125,Tallahassee,FL
126,Huntsville,AL
127,Grand Prairie,TX
128,Knoxville,TN
129,Worcester,MA
130,Newport News,VA
131,Brownsville,TX
132,Overland Park,KS
133,Santa Clarita,CA
134,Providence,RI
135,Garden Grove,CA
136,Chattanooga,TN
137,Oceanside,CA
138,Jackson,MS
139,Fort Lauderdale,FL
140,Santa Rosa,CA
141,Rancho Cucamonga,CA
143,Tempe,AZ
144,Ontario,CA
145,Vancouver,WA
146,Cape Coral,FL
147,Sioux Falls,SD
148,Springfield,MO
149,Peoria,AZ
150,Pembroke Pines,FL
151,Elk Grove,CA
152,Salem,OR
153,Lancaster,CA
154,Corona,CA
155,Eugene,OR
156,Palmdale,CA
157,Salinas,CA
158,Springfield,MA
159,Pasadena,TX
160,Fort Collins,CO
161,Hayward,CA
162,Pomona,CA
163,Cary,NC
164,Rockford,IL
165,Alexandria,VA
166,Escondido,CA
167,McKinney,TX
168,Kansas City,KS
25,Nashville,TN
61,Lexington,KY
96,Las Vegas,NV
119,Augusta,GA
58,Saint Louis,MO
66,Saint Paul,MN
169,Joliet,IL
170,Sunnyvale,CA
171,Torrance,CA
172,Bridgeport,CT
173,Lakewood,CO
174,Hollywood,FL
175,Paterson,NJ
176,Naperville,IL
177,Syracuse,NY
178,Mesquite,TX
179,Dayton,OH
180,Savannah,GA
181,Clarksville,TN
182,Orange,CA
183,Pasadena,CA
184,Fullerton,CA
185,Killeen,TX
186,Frisco,TX
187,Hampton,VA
188,McAllen,TX
189,Warren,MI
190,Bellevue,WA
191,West Valley City,UT
192,Columbia,SC
193,Olathe,KS
194,Sterling Heights,MI
195,New Haven,CT
196,Miramar,FL
197,Waco,TX
198,Thousand Oaks,CA
199,Cedar Rapids,IA
200,Charleston,SC
201,Visalia,CA
202,Topeka,KS
203,Elizabeth,NJ
204,Gainesville,FL
205,Thornton,CO
206,Roseville,CA
207,Carrollton,TX
208,Coral Springs,FL
209,Stamford,CT
210,Simi Valley,CA
211,Concord,CA
212,Hartford,CT
213,Kent,WA
214,Lafayette,LA
215,Midland,TX
216,Surprise,AZ
217,Denton,TX
218,Victorville,CA
219,Evansville,IN
220,Santa Clara,CA
221,Abilene,TX
223,Vallejo,CA
224,Allentown,PA
225,Norman,OK
226,Beaumont,TX
227,Independence,MO
228,Murfreesboro,TN
229,Ann Arbor,MI
230,Springfield,IL
231,Berkeley,CA
232,Peoria,IL
233,Provo,UT
234,El Monte,CA
235,Columbia,MO
236,Lansing,MI
237,Fargo,ND
238,Downey,CA
239,Costa Mesa,CA
240,Wilmington,NC
241,Arvada,CO
242,Inglewood,CA
243,Miami Gardens,FL
244,Carlsbad,CA
245,Westminster,CO
246,Rochester,MN
247,Odessa,TX
248,Manchester,NH
249,Elgin,IL
250,West Jordan,UT
251,Round Rock,TX
252,Clearwater,FL
253,Waterbury,CT
254,Gresham,OR
255,Fairfield,CA
256,Billings,MT
257,Lowell,MA
259,Pueblo,CO
260,High Point,NC
261,West Covina,CA
262,Richmond,CA
263,Murrieta,CA
264,Cambridge,MA
265,Antioch,CA
266,Temecula,CA
267,Norwalk,CA
268,Centennial,CO
269,Everett,WA
270,Palm Bay,FL
271,Wichita Falls,TX
272,Green Bay,WI
273,Daly City,CA
274,Burbank,CA
275,Richardson,TX
276,Pompano Beach,FL
277,North Charleston,SC
278,Broken Arrow,OK
279,Boulder,CO
280,West Palm Beach,FL
281,Santa Maria,CA
282,El Cajon,CA
283,Davenport,IA
284,Rialto,CA
285,Las Cruces,NM
286,San Mateo,CA
287,Lewisville,TX
288,South Bend,IN
289,Lakeland,FL
290,Erie,PA
291,Tyler,TX
292,Pearland,TX
293,College Station,TX
294,Kenosha,WI
295,Sandy Springs,GA
296,Clovis,CA
297,Flint,MI
298,Roanoke,VA
299,Albany,NY
300,Jurupa Valley,CA
301,Compton,CA
302,San Angelo,TX
303,Hillsboro,OR
304,Lawton,OK
305,Renton,WA
306,Vista,CA
307,Davie,FL
308,Greeley,CO
