id,cityStateID,rateType,pct10,pct25,median,pct75,pct90,stFips,area
1,1,Hourly,39.47,50.05,65.69,82.8,100.11,36,035620
2,1,Annual,82100,104110,136630,172220,208230,36,035620
3,2,Hourly,39.68,51.94,65.36,81.83,103.74,06,031080
4,2,Annual,82530,108040,135960,170210,215780,06,031080
5,3,Hourly,36.56,48.12,60.7,68.14,82.42,17,016980
6,3,Annual,76050,100100,126260,141720,171430,17,016980
7,4,Annual,65750,88080,117800,140680,165920,48,026420
8,4,Hourly,31.61,42.35,56.64,67.64,79.77,48,026420
9,5,Hourly,36.81,44.59,55.61,66.45,81.33,42,037980
10,5,Annual,76570,92740,115660,138220,169170,42,037980
11,6,Hourly,37.18,47.12,53.72,66.07,81.37,04,038060
12,6,Annual,77330,98000,111730,137420,169250,04,038060
13,7,Annual,65140,87490,111410,130690,156320,48,041700
14,7,Hourly,31.32,42.06,53.56,62.83,75.16,48,041700
15,8,Hourly,41.3,52.87,66.41,82.97,96.99,06,041740
16,8,Annual,85900,109960,138130,172570,201740,06,041740
17,9,Annual,77320,99340,122990,137590,166720,48,019100
18,9,Hourly,37.18,47.76,59.13,66.15,80.15,48,019100
19,10,Hourly,61.49,78.3,92.86,115+,115+,06,041940
20,10,Annual,127900,162860,193140,"239,200+","239,200+",06,041940
21,11,Annual,67770,85540,109650,138880,170450,48,012420
22,11,Hourly,32.58,41.13,52.72,66.77,81.95,48,012420
23,12,Annual,61690,81330,104600,128520,142830,18,026900
24,12,Hourly,29.66,39.1,50.29,61.79,68.67,18,026900
25,13,Annual,68040,82060,106950,131420,161650,12,027260
26,13,Hourly,32.71,39.45,51.42,63.18,77.71,12,027260
27,14,Hourly,50.63,64.18,79.78,98.98,115+,06,041860
28,14,Annual,105310,133500,165950,205880,"239,200+",06,041860
29,15,Annual,76150,90420,108760,133580,152500,39,018140
30,15,Hourly,36.61,43.47,52.29,64.22,73.32,39,018140
31,16,Annual,78980,103980,131550,144100,172000,37,016740
32,16,Hourly,37.97,49.99,63.24,69.28,82.69,37,016740
33,17,Annual,77320,99340,122990,137590,166720,48,019100
34,17,Hourly,37.18,47.76,59.13,66.15,80.15,48,019100
35,18,Annual,70050,84450,104090,129460,141830,26,019820
36,18,Hourly,33.68,40.6,50.04,62.24,68.19,26,019820
37,19,Annual,52570,70150,92140,123950,135620,48,021340
38,19,Hourly,25.27,33.73,44.3,59.59,65.2,48,021340
39,19,Hourly,24.24,31.62,45.52,60.19,76.81,48,480001
40,19,Annual,50430,65770,94680,125190,159760,48,480001
41,20,Annual,62960,82990,108020,134160,172190,47,032820
42,20,Hourly,30.27,39.9,51.93,64.5,82.79,47,032820
43,21,Hourly,40.81,59.52,73.04,87.47,105.84,53,042660
44,21,Annual,84890,123800,151930,181930,220150,53,042660
45,22,Annual,80960,102750,129500,158570,174300,08,019740
46,22,Hourly,38.92,49.4,62.26,76.24,83.8,08,019740
47,24,Hourly,39.91,50.23,64.2,80.42,86.78,25,071650
48,24,Annual,83020,104480,133540,167270,180490,25,071650
49,26,Annual,82230,104000,132320,172360,216140,24,012580
